,"LATITUDE",,"LONGITUDE",,"10,2141871858","22,6078228947","16,9398861703","15,8754718179","697,2426572412","343,17573225"
"{ lat: ","35,40417",", lng:","8,12417","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"700,5647014848","389,2884037807"
"{ lat: ","36,68237",", lng:","2,87743","},",,,,,"668,9678502222","343,6134322945"
"{ lat: ","36,0786",", lng:","4,07101","},",,,,,"704,0596735179","261,6488349616"
"{ lat: ","36,74831",", lng:","6,43226","},",,,,,"683,8650108422","255,7799799262"
"{ lat: ","36,365",", lng:","6,6147","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"711,5221650298","341,8055115161"
"{ lat: ","36,88856",", lng:","4,11984","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"700,9040646765","257,147295195"
"{ lat: ","36,68878",", lng:","6,57201","},",,,,,"704,3998820605","266,8427740753"
"{ lat: ","36,75472",", lng:","6,2725","},",,,,,"679,7597595836","214,8192328787"
"{ lat: ","36,28639",", lng:","7,95111","},",,,,,"158,0253348091","291,8980073137"
"{ lat: ","22,785",", lng:","5,5228","},",,,,,"704,1493617091","307,1089026882"
"{ lat: ","36,75",", lng:","5,0833","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"681,8163237576","340,6801514097"
"{ lat: ","36,3258",", lng:","4,1503","},",,,,,"703,9503571755","352,5454196204"
"{ lat: ","36,74625",", lng:","3,83163","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"683,8650108422","255,7799799262"
"{ lat: ","36,365",", lng:","6,6147","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"606,9419963774","284,9267329779"
"{ lat: ","34,85038",", lng:","5,72805","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"642,1719986609","269,9193649249"
"{ lat: ","35,5553",", lng:","6,1786","},",,,,,"703,7927655433","356,8518552366"
"{ lat: ","36,74328",", lng:","3,7173","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"703,8691714042","332,5372129345"
"{ lat: ","36,74472",", lng:","4,37222","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"679,8390213906","434,3411493801"
"{ lat: ","36,28791",", lng:","1,76697","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"642,1719986609","269,9193649249"
"{ lat: ","35,5553",", lng:","6,1786","},",,,,,"689,2941922173","391,2057908759"
"{ lat: ","36,4686",", lng:","2,8289","},",,,,,"649,0730865412","540,5403148329"
"{ lat: ","35,6911",", lng:","-0,6417","},",,,,,"473,1605024919","298,1069136526"
